"ID#","SERIES","SHOT","YEAR","MON","DAY","TIME","SITE","LAT","LONG","NT","HOLE","HOB","GZALT","NT","TYPE","PUR","YD-MN","YD-MX","YD-EST","NT","YIELD","MAG","CRAT","VENT","DEVIC","WARHEAD","R","N","SOURCES"
"1001","Pokhran I","Pokhran I","1974","MAY","18","02:34:55.0","POK","27.09500","71.75200","","","-107","","","UG-S","","12","15","9","","12","5.00","95","","IP","","","","1,2,3,7"
"1002","Shakti-98","Shakti I S","1998","MAY","11","10:13:41.8","POK","27.07160","71.76120","","White Ho","-200","","MN","UG-S","","40","46","30","T","43","5.20","80","","TN?","","","*","1,2,3,7"
"1003","Shakti-98","Shakti II SS","1998","MAY","11","10:13:41.8","POK","27.07200","71.76100","","Taj Maha","-150","","MN","UG-S","","12","","12","","12","","","","IP","","","*","1,2,3,7"
"1004","Shakti-98","Shakti III SS","1998","MAY","11","10:13:41.8","POK","27.07200","71.76100","","Kumbhkaran","","","","UG","","0.2","","","","0.2","","","","IP","","","*","1,2,3,7"
"1005","Shakti-98","Shakti IV S","1998","MAY","13","06:51","POK","27.10000","71.80000","","NT1","-20","","?","UG","","0.5","","0.1","MX","0.5","","4","","","","","","1,2,3,7"
"1006","Shakti-98","Shakti V SS","1998","MAY","13","06:51","POK","27.10000","71.80000","","NT2","","","","UG","","0.3","","0.1","MX","0.3","","","","","","","","1,2,3,7"
"2001","Chagai","Chagai-I S","1998","MAY","28","10:16:15.2","CHA","28.79190","64.94750","","","","","","UG-T","","30","35","10","T","32","4.80C","","","BF?","","","","1,4,7"
"2002","Chagai","Chagai-I SS","1998","MAY","28","10:16:15.2","CHA","28.79190","64.94750","","","","","","UG-T","","","","","","1","","","","","","","","1,4,7"
"2003","Chagai","Chagai-I ?","1998","MAY","28","10:16:15.2","CHA","28.79190","64.94750","","","","","","UG-T","","","","","","1","","","","","","","","1,4,7"
"2004","Chagai","Chagai-I ?","1998","MAY","28","10:16:15.2","CHA","28.79190","64.94750","","","","","","UG-T","","","","","","1","","","","","","","","1,4,7"
"2005","Chagai","Chagai-I ?","1998","MAY","28","10:16:15.2","CHA","28.79190","64.94750","","","","","","UG-T","","","","","","1","","","","","","","","1,4,7"
"2006","Chagai","Chagai-II S","1998","MAY","30","06:54:54.9","CHA","28.49000","63.73000","","","-36","","","UG-S","","15","18","5","T","","4.80","","","","","","","1,4,5,6,7"
"2007","Chagai","Chagai-II ?","1998","MAY","30","06:54:54.9","CHA","28.49000","63.73000","","","","","","UG-S","","","","","","","","","","","","","","1,4,5,6,7"
"3001","","","1979","SEP","22","00:53","-SATL","-46.36000","37.57000","","","","","","A","","","","3","","3","","","","","","","","1,8"
"4001","","","2006","OCT","9","01:35:27","","41.29","129.09","","","","","","UG","","0.2","4","0.5","","0.5","4.30","","","IP","","","","9"
"4002","","","2009","MAY","25","00:54:43","","41.306","129.029","","","","","","UG","","","","4","","4","4.70","","","IP?","","","","10,11"
